#T       Density
#(°C)    (g/cm3)
#https://www.usgs.gov/special-topics/water-science-school/science/water-density
-100     0.9257
-90      0.9249
-80      0.9241
-70      0.9233
-60      0.9224
-50      0.9216
-40      0.9208
-35      0.9204
-30      0.9200
-25      0.9196
-20      0.9194
-15      0.9194
-10      0.9189
-5       0.9175
0        0.9162
0        0.99987
4.0      1.00000
4.4      0.99999
10       0.99975
15.6     0.99907
21       0.99802
26.7     0.99669
32.2     0.99510
37.8     0.99318
48.9     0.98870
60       0.98338
71.1     0.97729
82.2     0.97056
93.3     0.96333
100      0.95865
