#T      Vapor_P   Dynamic_viscosity 
#[°C]    [bar]     [mPa s]
#https://www.engineeringtoolbox.com/water-dynamic-kinematic-viscosity-d_596.html
0.01    00.00612    1.79140
10      00.012      1.30600
20      00.023      1.00160
25      00.032      0.89004
30      00.042      0.79722
40      00.074      0.65272
50      00.124      0.54650
60      00.199      0.46602
70      00.312      0.40353
80      00.474      0.35404
90      00.702      0.31417
100     01.01       0.28158
110     01.43       0.25461
120     01.99       0.23203
140     03.62       0.19664
160     06.18       0.17043
180     10.0        0.15038
200     15.5        0.13458
220     23.2        0.12177
240     33.5        0.11106
260     46.9        0.10181
280     64.2        0.09355
300     85.9        0.08586
320     113        0.07831
340     146        0.07033
360     187        0.06031
