#radius density
# (km)  (g/cm^3)
# PREM earth model, https://ds.iris.edu/ds/products/emc-prem/
0.0     13.08850
100.0   13.08632
200.0   13.07979
300.0   13.06890
400.0   13.05366
500.0   13.03406
600.0   13.01011
700.0   12.98181
800.0   12.94914
900.0   12.91213
1000.0  12.87076
1100.0  12.82503
1200.0  12.77495
1217.1  12.76595
1221.5  12.76361
1221.5  12.16633
1300.0  12.12499
1400.0  12.06923
1500.0  12.00988
1600.0  11.94681
1700.0  11.87989
1800.0  11.80900
1900.0  11.73401
2000.0  11.65478
2100.0  11.57119
2200.0  11.48311
2221.5  11.46358
2300.0  11.39042
2400.0  11.29298
2500.0  11.19067
2600.0  11.08336
2700.0  10.97092
2800.0  10.85322
2900.0  10.73013
3000.0  10.60153
3100.0  10.46729
3200.0  10.32727
3300.0  10.18136
3400.0  10.02942
3480.0  9.90344
3480.0  5.56646
3485.7  5.56360
3535.7  5.53856
3585.7  5.51358
3630.0  5.49148
3635.7  5.48863
3685.7  5.46372
3735.7  5.43883
3785.7  5.41395
3835.7  5.38908
3885.7  5.36420
3935.7  5.33931
3985.7  5.31440
4035.7  5.28945
4085.7  5.26447
4135.7  5.23944
4185.7  5.21434
4235.7  5.18919
4285.7  5.16395
4335.7  5.13863
4385.7  5.11322
4435.7  5.08770
4485.7  5.06208
4535.7  5.03633
4585.7  5.01045
4635.7  4.98443
4685.7  4.95827
4735.7  4.93195
4785.7  4.90547
4835.7  4.87881
4885.7  4.85196
4935.7  4.82493
4985.7  4.79770
5035.7  4.77025
5085.7  4.74259
5135.7  4.71469
5185.7  4.68656
5235.7  4.65819
5285.7  4.62956
5335.7  4.60067
5385.7  4.57150
5435.7  4.54206
5485.7  4.51232
5535.7  4.48228
5585.7  4.45194
5600.0  4.44320
5635.7  4.42128
5685.7  4.39029
5701.0  4.38074
5701.0  3.99212
5711.0  3.98979
5721.0  3.98746
5731.0  3.98514
5741.0  3.98281
5751.0  3.98048
5761.0  3.97815
5771.0  3.97582
5781.0  3.96322
5791.0  3.95061
5801.0  3.93801
5811.0  3.92541
5821.0  3.91280
5831.0  3.90020
5841.0  3.88759
5851.0  3.87499
5861.0  3.86239
5871.0  3.84978
5881.0  3.83718
5891.0  3.82458
5901.0  3.81197
5911.0  3.79937
5921.0  3.78677
5931.0  3.77416
5941.0  3.76156
5951.0  3.74895
5961.0  3.73635
5971.0  3.72375
5971.0  3.54326
5981.0  3.53729
5991.0  3.53132
6001.0  3.52535
6011.0  3.51938
6021.0  3.51341
6031.0  3.50743
6041.0  3.50146
6051.0  3.49549
6061.0  3.48952
6071.0  3.48355
6081.0  3.47758
6091.0  3.47160
6101.0  3.46563
6111.0  3.45966
6121.0  3.45369
6131.0  3.44772
6141.0  3.44175
6151.0  3.43577
6151.0  3.35949
6161.0  3.36058
6171.0  3.36166
6181.0  3.36275
6191.0  3.36384
6201.0  3.36492
6211.0  3.36601
6221.0  3.36710
6231.0  3.36818
6241.0  3.36927
6251.0  3.37036
6261.0  3.37145
6271.0  3.37253
6281.0  3.37362
6291.0  3.37471
6301.0  3.37579
6311.0  3.37688
6321.0  3.37797
6326.0  3.37851
6331.0  3.37905
6336.0  3.37960
6337.0  3.37970
6338.0  3.37981
6339.0  3.37992
6340.0  3.38003
6341.0  3.38014
6342.0  3.38025
6343.0  3.38036
6344.0  3.38047
6345.0  3.38057
6346.0  3.38068
6346.6  3.38075
6346.6  2.90000
6356.0  2.90000
6356.0  2.60000
6368.0  2.60000
6368.0  1.02000
6371.0  1.02000
