name        J   dJ  K   E_u                     S                   nu0              
-           -   -   -   [J]                     -                   [GHz]            
-------------------------------------------------------------------------------     
C17O_1-0    1   -1  0   7.441695522799998e-23   0.3333333           112.358982       
C17O_2-1    2   -1  0   2.2334613043188e-22     .4                  224.714199       
C18O_1-0    1   -1  0   7.276017700399999e-23   0.3333333           109.7821734      
CO_2-1      2   -1  0   2.29134950263072e-22    .4                  230.538          
H13CO+_1-0  1   -1  0   5.748400561442459e-23   0.3333333           86.7542982       
N2H+_1-0    1   -1  0   6.173707922031999e-23   0.3333333           93.17377457958444
NH2D_1-1    1   0   1   2.85501706177346e-22    .5                  85.9262630000
NH3_1-1     1   0   1   3.3695219760518647e-22  .5                  23.6944955000
NH3_2-2     2   0   2   9.055315670073746e-22   0.6666667           23.7226333350
NH3_3-3     3   0   3   1.2012675666532277e-21  .75                 23.8701296000
NH3_4-4     4   0   4   1.940132995311376e-21   .8                  24.1394169000
NH3_5-5     5   0   5   2.850521425933582e-21   .83333333           24.5329900000
NH3_6-6     6   0   6   3.931998625972154e-21   0.8571428571428571  25.0560300000
NH3_7-7     7   0   7   5.18384139542164e-21    .875                25.7151800000
NH3_8-8     8   0   8   6.6049191192138954e-21  .88888889           26.5189800000
NH3_9-9     9   0   9   8.188798037990551e-21   .9                  27.4779430000
